status,duration_sec,is_complete,source_file,respondent_id,region,researcher_id,start_time,end_time,start_date,start_hour
,,0,FSR TAIWAN 25Jun2025.xlsx,,,,,,,
,,0,SCJ PH Pest Control_2024 FSR_5December2024.xlsx,,,,,,,
Completed successfully,3338.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,3.0,,Joyce Feliciano,2025-06-05 06:59:00,2025-06-05 07:54:38,2025-06-05,6.0
Completed successfully,1835.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,7.0,,MARIBEL ROSALES,2025-06-05 08:43:00,2025-06-05 09:13:35,2025-06-05,8.0
Completed successfully,3404.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,8.0,,Jewel Mallorca,2025-06-05 08:12:00,2025-06-05 09:08:44,2025-06-05,8.0
Completed successfully,3098.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,9.0,,Josephine Bautista,2025-06-05 08:11:00,2025-06-05 09:02:38,2025-06-05,8.0
Completed successfully,2056.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,10.0,,FLORY ABERGAS,2025-06-05 07:11:00,2025-06-05 07:45:16,2025-06-05,7.0
Completed successfully,3180.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,11.0,,MALOU TOLENTINO,2025-06-05 08:22:00,2025-06-05 09:15:00,2025-06-05,8.0
Completed successfully,765.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,12.0,,,2025-06-04 13:03:00,2025-06-04 13:15:45,2025-06-04,13.0
Completed successfully,3330.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,13.0,,MARIBEL ROSALES,2025-06-05 09:20:00,2025-06-05 10:15:30,2025-06-05,9.0
Completed successfully,2073.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,14.0,,Maricel Gumboc,2025-06-05 09:56:00,2025-06-05 10:30:33,2025-06-05,9.0
Completed successfully,3034.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,15.0,,ROSELYN LAGMAN,2025-06-05 08:36:00,2025-06-05 09:26:34,2025-06-05,8.0
Completed successfully,2086.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,16.0,,ROSELYN LAGMAN,2025-06-05 09:36:00,2025-06-05 10:10:46,2025-06-05,9.0
Completed successfully,3015.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,17.0,,ROSELYN LAGMAN,2025-06-05 10:36:00,2025-06-05 11:26:15,2025-06-05,10.0
Completed successfully,114.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,19.0,,,2025-06-10 06:25:00,2025-06-10 06:26:54,2025-06-10,6.0
Completed successfully,2721.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,20.0,,FELISA RAQUEPO,2025-06-05 11:08:00,2025-06-05 11:53:21,2025-06-05,11.0
Completed successfully,2841.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,21.0,,MIRA LUCIA,2025-06-05 12:18:00,2025-06-05 13:05:21,2025-06-05,12.0
Completed successfully,2346.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,22.0,,MARIVIC ADORNA,2025-06-06 03:53:00,2025-06-06 04:32:06,2025-06-06,3.0
Completed successfully,2594.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,23.0,,HONEY OBRERO,2025-06-06 03:48:00,2025-06-06 04:31:14,2025-06-06,3.0
Completed successfully,2606.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,24.0,,CRISTY MARIO,2025-06-06 02:57:00,2025-06-06 03:40:26,2025-06-06,2.0
Completed successfully,3048.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,25.0,,CRISTY MARIO,2025-06-06 05:19:00,2025-06-06 06:09:48,2025-06-06,5.0
Completed successfully,1850.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,26.0,,Joyce Feliciano,2025-06-06 01:21:00,2025-06-06 01:51:50,2025-06-06,1.0
Completed successfully,1938.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,27.0,,Joyce Feliciano,2025-06-06 02:24:00,2025-06-06 02:56:18,2025-06-06,2.0
Completed successfully,1600.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,28.0,,Joyce Feliciano,2025-06-06 05:05:00,2025-06-06 05:31:40,2025-06-06,5.0
Completed successfully,358.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,29.0,,,2025-06-05 08:49:00,2025-06-05 08:54:58,2025-06-05,8.0
Completed successfully,2025.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,30.0,,Joyce Feliciano,2025-06-06 01:29:00,2025-06-06 02:02:45,2025-06-06,1.0
Completed successfully,2880.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,31.0,,Joyce Feliciano,2025-06-06 02:43:00,2025-06-06 03:31:00,2025-06-06,2.0
Completed successfully,294.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,32.0,,,2025-06-06 06:54:00,2025-06-06 06:58:54,2025-06-06,6.0
Completed successfully,1725.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,33.0,,Joyce Feliciano,2025-06-06 07:01:00,2025-06-06 07:29:45,2025-06-06,7.0
Completed successfully,114.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,34.0,,,2025-06-06 02:52:00,2025-06-06 02:53:54,2025-06-06,2.0
Completed successfully,2485.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,35.0,,HONEY OBRERO,2025-06-06 04:01:00,2025-06-06 04:42:25,2025-06-06,4.0
Completed successfully,2728.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,36.0,,HONEY OBRERO,2025-06-06 06:25:00,2025-06-06 07:10:28,2025-06-06,6.0
Completed successfully,1977.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,38.0,,ROWENA ESTANTE,2025-06-08 01:49:00,2025-06-08 02:21:57,2025-06-08,1.0
Completed successfully,2593.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,40.0,,Janet Macairan,2025-06-07 05:04:00,2025-06-07 05:47:13,2025-06-07,5.0
Completed successfully,2488.0,1,TAYLOR_FW_20250704 Final List (1).xlsx,42.0,,Katherine Mendoza,2025-06-08 02:07:00,2025-06-08 02:48:28,2025-06-08,2.0
